event_time,device,latency_ms,packet_loss_pct,throughput_mbps
2026-09-05 08:22:30,ROUTER-01,41.8,0.46,428.39
2026-09-05 08:23:00,ROUTER-02,49.51,0.0,547.78
2026-09-05 08:23:30,ROUTER-05,41.85,0.32,424.13
2026-09-05 08:24:00,ROUTER-02,39.31,0.89,537.06
2026-09-05 08:24:30,ROUTER-04,51.6,0.49,390.63
2026-09-05 08:25:00,ROUTER-04,46.18,0.2,567.85
2026-09-05 08:25:30,ROUTER-04,72.56,0.35,401.4
2026-09-05 08:26:00,ROUTER-04,10.24,0.75,544.18
2026-09-05 08:26:30,ROUTER-05,66.37,0.66,550.05
2026-09-05 08:27:00,ROUTER-03,68.69,0.43,444.26
2026-09-05 08:27:30,ROUTER-01,18.9,0.39,546.56
2026-09-05 08:28:00,ROUTER-04,44.86,0.38,520.84
2026-09-05 08:28:30,ROUTER-02,44.43,0.22,456.89
2026-09-05 08:29:00,ROUTER-04,28.89,0.98,419.32
2026-09-05 08:29:30,ROUTER-02,193.79,7.83,94.3
2026-09-05 08:30:00,ROUTER-02,33.34,0.87,527.97
2026-09-05 08:30:30,ROUTER-04,295.96,15.13,77.23
2026-09-05 08:31:00,ROUTER-05,64.04,0.8,507.63
2026-09-05 08:31:30,ROUTER-02,69.07,0.37,478.92
2026-09-05 08:32:00,ROUTER-02,60.83,0.62,554.33
2026-09-05 08:32:30,ROUTER-04,33.06,0.49,475.84
2026-09-05 08:33:00,ROUTER-02,42.13,0.23,473.64
2026-09-05 08:33:30,ROUTER-02,57.34,0.6,558.55
2026-09-05 08:34:00,ROUTER-04,31.67,0.15,526.8
2026-09-05 08:34:30,ROUTER-04,60.69,0.86,525.29
2026-09-05 08:35:00,ROUTER-01,46.4,0.36,537.54
2026-09-05 08:35:30,ROUTER-05,44.38,0.56,377.15
2026-09-05 08:36:00,ROUTER-05,60.66,0.58,560.54
2026-09-05 08:36:30,ROUTER-02,56.66,0.42,549.0
2026-09-05 08:37:00,ROUTER-05,44.59,0.68,418.67
2026-09-05 08:37:30,ROUTER-02,67.39,0.36,480.47
2026-09-05 08:38:00,ROUTER-01,33.78,0.76,496.86
2026-09-05 08:38:30,ROUTER-04,59.24,0.1,489.24
2026-09-05 08:39:00,ROUTER-04,58.9,0.54,526.71
2026-09-05 08:39:30,ROUTER-04,45.36,1.08,614.51
2026-09-05 08:40:00,ROUTER-05,54.89,0.2,586.54
2026-09-05 08:40:30,ROUTER-01,31.23,0.3,395.02
2026-09-05 08:41:00,ROUTER-05,63.86,0.65,549.77
2026-09-05 08:41:30,ROUTER-05,47.23,0.55,606.31
2026-09-05 08:42:00,ROUTER-01,42.16,0.61,530.94
2026-09-05 08:42:30,ROUTER-01,65.74,0.65,587.28
2026-09-05 08:43:00,ROUTER-01,39.43,0.69,660.98
2026-09-05 08:43:30,ROUTER-01,28.87,0.83,581.9
2026-09-05 08:44:00,ROUTER-04,26.65,0.62,519.94
2026-09-05 08:44:30,ROUTER-03,59.09,0.43,583.61
2026-09-05 08:45:00,ROUTER-03,325.75,8.26,100.38
2026-09-05 08:45:30,ROUTER-01,76.32,1.07,501.91
2026-09-05 08:46:00,ROUTER-03,18.77,0.46,471.89
2026-09-05 08:46:30,ROUTER-03,75.45,0.21,625.07
2026-09-05 08:47:00,ROUTER-01,53.17,0.83,434.53
2026-09-05 08:47:30,ROUTER-03,222.72,19.11,168.95
2026-09-05 08:48:00,ROUTER-05,41.83,0.0,539.99
2026-09-05 08:48:30,ROUTER-02,55.99,0.75,388.06
2026-09-05 08:49:00,ROUTER-02,49.44,0.34,529.41
2026-09-05 08:49:30,ROUTER-01,66.55,0.47,332.0
2026-09-05 08:50:00,ROUTER-04,51.71,0.6,550.04
2026-09-05 08:50:30,ROUTER-01,52.25,0.56,570.82
2026-09-05 08:51:00,ROUTER-04,44.55,0.71,452.61
2026-09-05 08:51:30,ROUTER-02,49.15,0.37,509.88
2026-09-05 08:52:00,ROUTER-01,54.62,0.65,656.33
2026-09-05 08:52:30,ROUTER-05,24.35,0.42,459.54
2026-09-05 08:53:00,ROUTER-03,29.78,0.72,415.29
2026-09-05 08:53:30,ROUTER-04,61.15,0.68,618.53
2026-09-05 08:54:00,ROUTER-03,52.56,0.22,657.01
2026-09-05 08:54:30,ROUTER-03,47.24,0.83,500.3
2026-09-05 08:55:00,ROUTER-01,50.28,0.34,580.92
2026-09-05 08:55:30,ROUTER-03,55.21,0.74,607.32
2026-09-05 08:56:00,ROUTER-05,41.9,0.61,440.6
2026-09-05 08:56:30,ROUTER-03,38.33,1.05,461.18
2026-09-05 08:57:00,ROUTER-01,52.94,0.43,598.47
2026-09-05 08:57:30,ROUTER-05,35.32,0.4,634.8
2026-09-05 08:58:00,ROUTER-02,56.12,0.49,545.03
2026-09-05 08:58:30,ROUTER-03,24.46,0.41,429.61
2026-09-05 08:59:00,ROUTER-01,65.44,0.74,658.96
2026-09-05 08:59:30,ROUTER-02,57.09,0.02,457.52
2026-09-05 09:00:00,ROUTER-02,53.84,0.18,473.19
2026-09-05 09:00:30,ROUTER-04,64.74,0.18,527.39
2026-09-05 09:01:00,ROUTER-05,74.98,0.79,624.33
2026-09-05 09:01:30,ROUTER-03,65.22,1.01,568.32
2026-09-05 09:02:00,ROUTER-01,22.39,0.47,533.19
2026-09-05 09:02:30,ROUTER-04,30.81,0.45,537.06
2026-09-05 09:03:00,ROUTER-05,40.63,0.52,503.48
2026-09-05 09:03:30,ROUTER-04,50.39,0.85,544.65
2026-09-05 09:04:00,ROUTER-05,57.76,0.22,297.64
2026-09-05 09:04:30,ROUTER-05,39.11,0.57,476.27
2026-09-05 09:05:00,ROUTER-03,52.8,0.79,519.31
2026-09-05 09:05:30,ROUTER-05,38.67,0.65,407.92
2026-09-05 09:06:00,ROUTER-04,40.83,0.56,530.91
2026-09-05 09:06:30,ROUTER-05,28.9,0.8,483.64
2026-09-05 09:07:00,ROUTER-03,36.15,0.0,640.44
2026-09-05 09:07:30,ROUTER-03,29.72,0.7,625.84
2026-09-05 09:08:00,ROUTER-04,35.36,0.3,462.74
2026-09-05 09:08:30,ROUTER-02,65.8,0.0,487.93
2026-09-05 09:09:00,ROUTER-02,35.76,0.65,494.08
2026-09-05 09:09:30,ROUTER-05,89.49,0.91,463.87
2026-09-05 09:10:00,ROUTER-01,57.4,0.46,515.6
2026-09-05 09:10:30,ROUTER-05,52.77,0.79,439.34
2026-09-05 09:11:00,ROUTER-04,37.12,0.98,409.55
2026-09-05 09:11:30,ROUTER-04,60.5,0.89,549.82
2026-09-05 09:12:00,ROUTER-04,41.37,0.99,550.36
2026-09-05 09:12:30,ROUTER-04,51.83,0.72,435.65
2026-09-05 09:13:00,ROUTER-04,88.4,0.52,571.63
2026-09-05 09:13:30,ROUTER-03,48.56,0.02,449.47
2026-09-05 09:14:00,ROUTER-02,67.24,0.43,520.25
2026-09-05 09:14:30,ROUTER-04,39.45,0.25,565.63
2026-09-05 09:15:00,ROUTER-01,49.48,1.15,497.31
2026-09-05 09:15:30,ROUTER-01,76.56,0.45,536.38
2026-09-05 09:16:00,ROUTER-01,40.6,0.54,458.69
2026-09-05 09:16:30,ROUTER-01,77.19,0.67,484.28
2026-09-05 09:17:00,ROUTER-03,60.62,0.51,483.53
2026-09-05 09:17:30,ROUTER-01,41.56,1.01,440.27
2026-09-05 09:18:00,ROUTER-04,59.49,0.31,485.86
2026-09-05 09:18:30,ROUTER-05,64.59,0.56,376.11
2026-09-05 09:19:00,ROUTER-01,59.33,0.28,460.71
2026-09-05 09:19:30,ROUTER-03,26.45,0.1,477.21
2026-09-05 09:20:00,ROUTER-03,39.09,0.32,479.51
2026-09-05 09:20:30,ROUTER-01,46.29,0.49,480.68
2026-09-05 09:21:00,ROUTER-05,48.88,0.37,495.06
2026-09-05 09:21:30,ROUTER-01,59.31,0.29,538.36
2026-09-05 09:22:00,ROUTER-03,52.67,0.08,569.96
2026-09-05 09:22:30,ROUTER-02,29.97,0.48,448.02
2026-09-05 09:23:00,ROUTER-04,55.7,0.05,403.74
2026-09-05 09:23:30,ROUTER-03,59.16,0.73,416.64
2026-09-05 09:24:00,ROUTER-01,58.4,0.52,461.02
2026-09-05 09:24:30,ROUTER-04,286.67,17.22,66.92
2026-09-05 09:25:00,ROUTER-01,62.51,0.41,438.4
2026-09-05 09:25:30,ROUTER-01,56.89,0.27,396.31
2026-09-05 09:26:00,ROUTER-02,48.95,0.6,463.51
2026-09-05 09:26:30,ROUTER-04,25.09,0.9,514.51
2026-09-05 09:27:00,ROUTER-04,56.44,0.0,547.6
2026-09-05 09:27:30,ROUTER-02,53.12,0.53,455.41
2026-09-05 09:28:00,ROUTER-03,54.07,0.45,466.96
2026-09-05 09:28:30,ROUTER-01,302.16,10.45,107.04
2026-09-05 09:29:00,ROUTER-05,33.78,0.56,497.48
2026-09-05 09:29:30,ROUTER-01,65.8,0.27,432.13
2026-09-05 09:30:00,ROUTER-01,49.41,0.4,545.85
2026-09-05 09:30:30,ROUTER-03,60.22,0.26,357.13
2026-09-05 09:31:00,ROUTER-01,50.42,0.82,471.23
2026-09-05 09:31:30,ROUTER-02,50.45,0.51,524.09
2026-09-05 09:32:00,ROUTER-02,64.07,1.07,514.71
2026-09-05 09:32:30,ROUTER-04,42.26,0.48,715.44
2026-09-05 09:33:00,ROUTER-05,51.44,0.29,527.98
2026-09-05 09:33:30,ROUTER-01,43.07,0.05,419.68
2026-09-05 09:34:00,ROUTER-01,43.48,0.0,492.36
2026-09-05 09:34:30,ROUTER-03,45.36,0.02,357.9
2026-09-05 09:35:00,ROUTER-02,53.33,0.58,493.55
2026-09-05 09:35:30,ROUTER-05,42.82,0.65,433.36
2026-09-05 09:36:00,ROUTER-04,68.84,0.03,573.23
2026-09-05 09:36:30,ROUTER-02,36.58,0.77,456.04
2026-09-05 09:37:00,ROUTER-04,47.2,0.36,490.66
2026-09-05 09:37:30,ROUTER-03,43.4,0.54,449.16
2026-09-05 09:38:00,ROUTER-03,71.7,0.98,639.11
2026-09-05 09:38:30,ROUTER-01,52.95,0.77,474.3
2026-09-05 09:39:00,ROUTER-05,65.48,0.42,646.6
2026-09-05 09:39:30,ROUTER-04,27.72,0.23,565.13
2026-09-05 09:40:00,ROUTER-02,54.01,0.0,538.57
2026-09-05 09:40:30,ROUTER-03,63.34,0.28,529.5
2026-09-05 09:41:00,ROUTER-01,51.23,0.44,531.5
2026-09-05 09:41:30,ROUTER-01,65.98,0.2,345.79
2026-09-05 09:42:00,ROUTER-04,42.24,0.46,477.69
2026-09-05 09:42:30,ROUTER-03,71.14,0.52,567.61
2026-09-05 09:43:00,ROUTER-05,84.48,0.43,496.09
2026-09-05 09:43:30,ROUTER-03,44.56,0.3,387.58
2026-09-05 09:44:00,ROUTER-04,43.32,0.55,495.81
2026-09-05 09:44:30,ROUTER-04,71.8,0.63,636.33
2026-09-05 09:45:00,ROUTER-03,73.69,0.17,599.75
2026-09-05 09:45:30,ROUTER-04,42.16,0.92,495.04
2026-09-05 09:46:00,ROUTER-03,43.7,0.47,576.12
2026-09-05 09:46:30,ROUTER-02,45.77,0.51,470.68
2026-09-05 09:47:00,ROUTER-03,29.83,0.71,363.69
2026-09-05 09:47:30,ROUTER-03,36.22,0.57,426.04
2026-09-05 09:48:00,ROUTER-04,34.94,0.79,625.03
2026-09-05 09:48:30,ROUTER-04,38.48,0.59,478.08
2026-09-05 09:49:00,ROUTER-01,49.48,0.32,480.53
2026-09-05 09:49:30,ROUTER-01,53.51,0.61,476.01
2026-09-05 09:50:00,ROUTER-02,73.26,0.16,652.33
2026-09-05 09:50:30,ROUTER-01,35.02,0.53,630.08
2026-09-05 09:51:00,ROUTER-03,64.76,0.49,677.5
2026-09-05 09:51:30,ROUTER-04,46.79,0.44,487.28
2026-09-05 09:52:00,ROUTER-01,211.8,14.02,204.27
2026-09-05 09:52:30,ROUTER-01,60.12,0.0,378.67
2026-09-05 09:53:00,ROUTER-02,33.16,0.34,618.15
2026-09-05 09:53:30,ROUTER-02,55.74,0.53,406.58
2026-09-05 09:54:00,ROUTER-03,52.5,0.55,517.34
2026-09-05 09:54:30,ROUTER-04,57.39,0.19,412.22
2026-09-05 09:55:00,ROUTER-02,214.18,7.25,163.22
2026-09-05 09:55:30,ROUTER-01,86.83,0.24,433.02
2026-09-05 09:56:00,ROUTER-04,40.43,0.79,451.37
2026-09-05 09:56:30,ROUTER-04,42.04,0.63,456.87
2026-09-05 09:57:00,ROUTER-01,40.65,0.31,456.14
2026-09-05 09:57:30,ROUTER-02,41.67,1.03,566.67
2026-09-05 09:58:00,ROUTER-01,40.44,0.14,411.61
2026-09-05 09:58:30,ROUTER-04,67.84,0.78,517.64
2026-09-05 09:59:00,ROUTER-05,71.31,0.8,597.44
2026-09-05 09:59:30,ROUTER-05,41.44,0.3,458.94
2026-09-05 10:00:00,ROUTER-03,37.51,0.92,442.57
2026-09-05 10:00:30,ROUTER-01,57.07,0.42,481.56
2026-09-05 10:01:00,ROUTER-01,41.72,0.59,594.38
2026-09-05 10:01:30,ROUTER-03,59.49,0.58,515.53
2026-09-05 10:02:00,ROUTER-03,238.75,17.04,113.14
2026-09-05 10:02:30,ROUTER-03,27.26,0.74,538.71
2026-09-05 10:03:00,ROUTER-04,73.21,0.74,411.82
2026-09-05 10:03:30,ROUTER-01,76.94,0.0,554.51
2026-09-05 10:04:00,ROUTER-04,40.81,0.89,532.69
2026-09-05 10:04:30,ROUTER-03,44.18,0.0,475.38
2026-09-05 10:05:00,ROUTER-01,54.29,0.81,432.91
2026-09-05 10:05:30,ROUTER-04,55.02,0.84,429.07
2026-09-05 10:06:00,ROUTER-04,59.88,0.17,542.79
2026-09-05 10:06:30,ROUTER-03,80.15,0.38,598.32
2026-09-05 10:07:00,ROUTER-01,47.35,0.17,449.02
2026-09-05 10:07:30,ROUTER-03,38.03,0.44,536.67
2026-09-05 10:08:00,ROUTER-01,29.31,0.41,333.04
2026-09-05 10:08:30,ROUTER-05,39.04,0.73,453.23
2026-09-05 10:09:00,ROUTER-02,49.5,0.89,497.52
2026-09-05 10:09:30,ROUTER-02,76.92,0.92,427.23
2026-09-05 10:10:00,ROUTER-02,42.24,0.33,425.08
2026-09-05 10:10:30,ROUTER-03,53.36,0.44,446.58
2026-09-05 10:11:00,ROUTER-05,49.75,0.0,523.38
2026-09-05 10:11:30,ROUTER-01,67.83,0.26,485.01
2026-09-05 10:12:00,ROUTER-04,87.9,0.79,320.94
2026-09-05 10:12:30,ROUTER-01,42.04,0.98,330.34
2026-09-05 10:13:00,ROUTER-04,42.66,0.13,451.45
2026-09-05 10:13:30,ROUTER-01,65.66,0.32,536.61
2026-09-05 10:14:00,ROUTER-05,60.23,0.49,280.2
2026-09-05 10:14:30,ROUTER-04,77.7,0.58,460.02
2026-09-05 10:15:00,ROUTER-03,58.76,0.26,457.9
2026-09-05 10:15:30,ROUTER-01,44.61,0.63,611.07
2026-09-05 10:16:00,ROUTER-01,58.86,0.36,469.2
2026-09-05 10:16:30,ROUTER-04,66.63,0.5,530.64
2026-09-05 10:17:00,ROUTER-03,62.31,0.66,511.3
2026-09-05 10:17:30,ROUTER-03,57.61,0.5,329.55
2026-09-05 10:18:00,ROUTER-05,66.0,0.37,561.46
2026-09-05 10:18:30,ROUTER-03,67.54,0.47,517.23
2026-09-05 10:19:00,ROUTER-03,70.73,0.47,540.66
2026-09-05 10:19:30,ROUTER-03,336.97,13.12,93.45
2026-09-05 10:20:00,ROUTER-02,351.26,8.83,60.67
2026-09-05 10:20:30,ROUTER-05,52.2,0.98,637.98
2026-09-05 10:21:00,ROUTER-01,68.1,0.67,477.0
2026-09-05 10:21:30,ROUTER-04,37.75,0.41,522.99
2026-09-05 10:22:00,ROUTER-01,55.53,0.71,496.36
2026-09-05 10:22:30,ROUTER-05,44.1,0.4,466.06
2026-09-05 10:23:00,ROUTER-04,50.43,0.85,454.41
2026-09-05 10:23:30,ROUTER-05,466.21,9.49,88.07
2026-09-05 10:24:00,ROUTER-03,52.87,0.47,378.63
2026-09-05 10:24:30,ROUTER-04,50.7,0.63,560.05
2026-09-05 10:25:00,ROUTER-03,29.6,0.03,466.7
2026-09-05 10:25:30,ROUTER-01,61.19,0.16,409.59
2026-09-05 10:26:00,ROUTER-01,59.68,0.14,464.0
2026-09-05 10:26:30,ROUTER-04,82.45,0.54,600.57
2026-09-05 10:27:00,ROUTER-04,45.38,1.02,457.17
2026-09-05 10:27:30,ROUTER-05,53.29,1.17,528.68
2026-09-05 10:28:00,ROUTER-05,53.74,0.69,441.52
2026-09-05 10:28:30,ROUTER-03,73.66,0.65,560.63
2026-09-05 10:29:00,ROUTER-04,48.57,0.0,554.84
2026-09-05 10:29:30,ROUTER-01,54.19,0.34,647.89
2026-09-05 10:30:00,ROUTER-05,59.12,0.26,485.95
2026-09-05 10:30:30,ROUTER-05,52.8,0.31,553.49
2026-09-05 10:31:00,ROUTER-01,43.3,0.45,507.85
2026-09-05 10:31:30,ROUTER-05,52.91,0.36,603.67
2026-09-05 10:32:00,ROUTER-03,66.1,0.0,442.49
2026-09-05 10:32:30,ROUTER-04,34.6,0.72,559.6
2026-09-05 10:33:00,ROUTER-01,51.99,0.18,484.42
2026-09-05 10:33:30,ROUTER-04,39.5,0.57,494.86
2026-09-05 10:34:00,ROUTER-05,67.93,1.12,507.34
2026-09-05 10:34:30,ROUTER-05,27.15,0.22,520.18
2026-09-05 10:35:00,ROUTER-01,41.62,0.0,490.7
2026-09-05 10:35:30,ROUTER-03,55.66,0.41,517.18
2026-09-05 10:36:00,ROUTER-02,73.48,0.83,626.25
2026-09-05 10:36:30,ROUTER-01,49.01,1.09,578.84
2026-09-05 10:37:00,ROUTER-02,41.67,0.13,569.53
2026-09-05 10:37:30,ROUTER-02,78.22,0.65,463.56
2026-09-05 10:38:00,ROUTER-03,28.28,0.36,428.86
2026-09-05 10:38:30,ROUTER-02,17.02,0.47,576.42
2026-09-05 10:39:00,ROUTER-02,56.6,1.29,570.08
2026-09-05 10:39:30,ROUTER-03,42.47,0.05,617.81
2026-09-05 10:40:00,ROUTER-02,34.68,0.58,451.68
2026-09-05 10:40:30,ROUTER-02,60.63,0.64,481.64
2026-09-05 10:41:00,ROUTER-02,53.66,0.83,368.84
2026-09-05 10:41:30,ROUTER-01,41.54,0.53,468.6
2026-09-05 10:42:00,ROUTER-01,30.8,0.59,579.73
2026-09-05 10:42:30,ROUTER-01,63.09,0.38,462.68
2026-09-05 10:43:00,ROUTER-03,59.75,0.58,551.24
2026-09-05 10:43:30,ROUTER-05,48.51,0.4,484.76
2026-09-05 10:44:00,ROUTER-02,272.49,6.99,93.75
2026-09-05 10:44:30,ROUTER-02,33.95,0.39,408.18
2026-09-05 10:45:00,ROUTER-03,27.12,0.61,506.82
2026-09-05 10:45:30,ROUTER-02,39.62,0.49,260.71
2026-09-05 10:46:00,ROUTER-01,49.32,0.84,485.05
2026-09-05 10:46:30,ROUTER-05,53.65,0.48,369.56
2026-09-05 10:47:00,ROUTER-04,46.38,0.0,596.48
2026-09-05 10:47:30,ROUTER-02,55.28,0.88,562.19
2026-09-05 10:48:00,ROUTER-01,31.23,0.23,537.33
2026-09-05 10:48:30,ROUTER-04,71.66,0.3,621.68
2026-09-05 10:49:00,ROUTER-05,48.77,0.32,424.09
2026-09-05 10:49:30,ROUTER-04,66.76,0.91,639.79
2026-09-05 10:50:00,ROUTER-01,55.14,0.0,574.58
2026-09-05 10:50:30,ROUTER-04,56.85,1.44,481.08
2026-09-05 10:51:00,ROUTER-03,58.55,0.82,590.85
2026-09-05 10:51:30,ROUTER-04,56.72,0.57,411.5
2026-09-05 10:52:00,ROUTER-02,59.64,0.48,434.04
2026-09-05 10:52:30,ROUTER-02,69.94,0.59,451.31
2026-09-05 10:53:00,ROUTER-03,52.95,0.66,457.68
2026-09-05 10:53:30,ROUTER-01,60.64,0.69,415.48
2026-09-05 10:54:00,ROUTER-02,48.65,0.67,597.85
2026-09-05 10:54:30,ROUTER-05,71.6,0.53,479.29
2026-09-05 10:55:00,ROUTER-02,39.85,0.44,528.2
2026-09-05 10:55:30,ROUTER-02,77.01,0.45,454.37
2026-09-05 10:56:00,ROUTER-01,49.4,0.44,354.35
2026-09-05 10:56:30,ROUTER-04,28.54,0.84,521.6
2026-09-05 10:57:00,ROUTER-02,51.92,0.68,347.02
2026-09-05 10:57:30,ROUTER-03,39.78,0.0,494.51
2026-09-05 10:58:00,ROUTER-04,62.61,0.7,390.53
2026-09-05 10:58:30,ROUTER-05,439.91,17.29,147.17
2026-09-05 10:59:00,ROUTER-01,43.31,0.49,572.91
2026-09-05 10:59:30,ROUTER-05,21.66,0.38,508.46
2026-09-05 11:00:00,ROUTER-04,43.22,0.84,601.1
2026-09-05 11:00:30,ROUTER-04,234.28,11.55,68.16
2026-09-05 11:01:00,ROUTER-04,26.24,0.27,543.48
2026-09-05 11:01:30,ROUTER-05,61.41,0.62,515.98
2026-09-05 11:02:00,ROUTER-04,61.79,0.21,521.12
2026-09-05 11:02:30,ROUTER-05,56.38,0.09,601.79
2026-09-05 11:03:00,ROUTER-04,35.5,0.31,558.6
2026-09-05 11:03:30,ROUTER-03,49.28,0.76,523.1
2026-09-05 11:04:00,ROUTER-04,49.95,0.79,367.61
2026-09-05 11:04:30,ROUTER-05,32.62,0.65,423.2
2026-09-05 11:05:00,ROUTER-02,319.85,20.38,114.23
2026-09-05 11:05:30,ROUTER-04,63.16,0.65,507.47
2026-09-05 11:06:00,ROUTER-02,46.69,0.31,409.58
2026-09-05 11:06:30,ROUTER-03,50.4,0.63,692.93
2026-09-05 11:07:00,ROUTER-01,53.13,0.74,621.31
2026-09-05 11:07:30,ROUTER-03,19.37,0.73,548.17
2026-09-05 11:08:00,ROUTER-04,203.07,16.25,182.13
2026-09-05 11:08:30,ROUTER-02,39.77,0.71,483.02
2026-09-05 11:09:00,ROUTER-02,34.98,0.61,423.85
2026-09-05 11:09:30,ROUTER-05,45.78,0.82,506.2
2026-09-05 11:10:00,ROUTER-02,273.04,19.72,140.96
2026-09-05 11:10:30,ROUTER-05,59.61,0.24,400.66
2026-09-05 11:11:00,ROUTER-01,41.43,0.45,526.73
2026-09-05 11:11:30,ROUTER-04,58.59,0.28,487.58
2026-09-05 11:12:00,ROUTER-05,70.99,0.3,347.38
2026-09-05 11:12:30,ROUTER-01,63.87,0.46,431.17
2026-09-05 11:13:00,ROUTER-02,50.89,0.26,466.91
2026-09-05 11:13:30,ROUTER-02,40.3,0.41,651.02
2026-09-05 11:14:00,ROUTER-01,60.47,0.0,544.52
2026-09-05 11:14:30,ROUTER-02,55.9,0.56,393.16
2026-09-05 11:15:00,ROUTER-01,63.43,0.5,538.88
2026-09-05 11:15:30,ROUTER-05,59.53,0.25,376.22
2026-09-05 11:16:00,ROUTER-05,65.74,0.7,586.62
2026-09-05 11:16:30,ROUTER-01,325.86,11.87,170.44
2026-09-05 11:17:00,ROUTER-05,69.76,0.02,492.51
2026-09-05 11:17:30,ROUTER-05,322.21,7.81,236.36
2026-09-05 11:18:00,ROUTER-05,81.13,0.27,397.03
2026-09-05 11:18:30,ROUTER-03,39.66,0.22,388.23
2026-09-05 11:19:00,ROUTER-04,76.04,0.75,453.31
2026-09-05 11:19:30,ROUTER-02,52.97,0.44,583.07
2026-09-05 11:20:00,ROUTER-03,40.23,0.42,378.45
2026-09-05 11:20:30,ROUTER-05,42.74,0.0,273.43
2026-09-05 11:21:00,ROUTER-01,45.19,0.69,463.91
2026-09-05 11:21:30,ROUTER-05,56.36,0.13,544.14
2026-09-05 11:22:00,ROUTER-04,57.84,0.52,596.02
2026-09-05 11:22:30,ROUTER-05,41.39,0.58,462.95
2026-09-05 11:23:00,ROUTER-01,49.63,0.91,467.09
2026-09-05 11:23:30,ROUTER-04,82.13,0.11,592.31
2026-09-05 11:24:00,ROUTER-05,75.91,0.0,350.42
2026-09-05 11:24:30,ROUTER-04,56.54,0.56,468.92
2026-09-05 11:25:00,ROUTER-02,50.57,1.04,515.23
2026-09-05 11:25:30,ROUTER-02,51.8,0.87,535.94
2026-09-05 11:26:00,ROUTER-05,59.2,0.56,459.22
2026-09-05 11:26:30,ROUTER-04,218.27,13.42,106.39
2026-09-05 11:27:00,ROUTER-01,46.14,0.74,300.93
2026-09-05 11:27:30,ROUTER-05,24.97,0.21,447.34
2026-09-05 11:28:00,ROUTER-02,55.99,0.64,536.28
2026-09-05 11:28:30,ROUTER-02,59.71,0.65,421.42
2026-09-05 11:29:00,ROUTER-05,42.75,0.82,504.72
2026-09-05 11:29:30,ROUTER-04,73.61,1.33,535.75
2026-09-05 11:30:00,ROUTER-02,31.61,0.62,472.6
2026-09-05 11:30:30,ROUTER-04,28.03,0.35,513.64
